Accession;"ST6512-R1
Absolute abundance (mg protein / g CDW)";"ST6512-R2
Absolute abundance (mg protein / g CDW)";"ST6512-R3
Absolute abundance (mg protein / g CDW)";"OKYL029-R1
Absolute abundance (mg protein / g CDW)";"OKYL029-R2
Absolute abundance (mg protein / g CDW)";"OKYL029-R3
Absolute abundance (mg protein / g CDW)";"JFYL007-R1
Absolute abundance (mg protein / g CDW)";"JFYL007-R2
Absolute abundance (mg protein / g CDW)";"JFYL007-R3
Absolute abundance (mg protein / g CDW)";"JFYL014-R1
Absolute abundance (mg protein / g CDW)";"JFYL014-R2
Absolute abundance (mg protein / g CDW)";"JFYL014-R3
Absolute abundance (mg protein / g CDW)";"JFYL018-R1
Absolute abundance (mg protein / g CDW)-R1";"JFYL018-R2
Absolute abundance (mg protein / g CDW)-R2";"JFYL018-R3
Absolute abundance (mg protein / g CDW)-R3"
Q6CI60;0.04998879;0.045027954;0.04089735;0.05844749;0.038571879;0.045576749;0.043686409;0.051885525;0.05282682;0.06115802;0.056206973;0.060161822;0.04739274;0.068513691;0.057157891
Q6C179;0.065644814;0.059525899;0.05177789;0.071924089;0.066542103;0.063606417;0.079077854;0.090167269;0.079851974;0.079114454;0.078739434;0.08805813;0.067698328;0.083123954;0.089528966
Q6C4G6;0.033255066;0.0245907;0.020699706;0.071281682;0.050132601;0.035292009;0.029140075;0.030233046;0.025829646;0.026666531;0.027973232;0.026302307;0.028195387;0.028458137;0.038590181
Q6CHB0;0.076048836;0.069927309;0.064475079;0.089279246;0.083757028;0.082653106;0.091626961;0.100280843;0.09420958;0.104506738;0.101818299;0.115781038;0.073088047;0.098346833;0.097866542
Q6CHZ9;0.053302389;0.047550577;0.033758773;0.047119045;0.048206106;0.04643708;0.042558063;0.044519659;0.044059984;0.0391518;0.036380365;0.051442823;0.03292735;0.040030998;0.044794506
Q6C7J4;0.067477521;0.056267677;0.051628982;0.069009168;0.089637744;0.089687764;0.159709712;0.108041236;0.100469244;0.0982531;0.062310939;0.111118815;0.096412342;0.09533892;0.13492834
Q6CBU7;0.100070955;0.096687878;0.083558859;0.08418957;0.093962352;0.102596406;0.130034337;0.138439164;0.138417547;0.139944557;0.136833996;0.144471682;0.105197684;0.132525937;0.126389492
Q6CC83;0.045605519;0.044239679;0.041412441;0.045894104;0.048375314;0.048796098;0.073943998;0.083518926;0.080587237;0.074653406;0.07588715;0.082087029;0.056465388;0.067857812;0.070467432
Q6CC99;0.050722565;0.049798668;0.040173935;0.037844487;0.056104337;0.057439216;0.058204244;0.056940582;0.052962463;0.055667444;0.058672223;0.065437512;0.039528691;0.054222168;0.05453673
Q6C7N7;0.139016752;0.106721647;0.121357786;0.108589173;0.127683586;0.173297461;0.198182444;0.251167439;0.234590207;0.262019628;0.282557642;0.2636831;0.132539101;0.163285002;0.162839256
Q6CHA1;0.028444349;0.025955529;0.017205179;0.020047292;0.034731308;0.028948692;0.015819816;0.019517611;0.016194222;0.016166236;0.010440772;0.01430369;0.014538841;0.01451426;0.021157782
Q6CFG0;0.034906141;0.03404069;0.024683089;0.057682459;0.031382649;0.031759793;0.037513867;0.038514455;0.036231403;0.038911068;0.033190716;0.041528819;0.025972904;0.035532014;0.038271649
Q6C2M1;0.015668557;0.01342171;0.015113887;0.015137679;0.019798362;0.01936427;0.02932372;0.033651062;0.036520384;0.033043401;0.038694955;0.036051183;0.023138931;0.032211689;0.026653998
Q6C3M2;0.092912442;0.073825268;0.051875079;0.123290382;0.098317082;0.090030547;0.087741026;0.104142979;0.09955005;0.096962866;0.087163855;0.092966921;0.075003489;0.089979487;0.108983668
Q6C7A3;0.05229628;0.046853671;0.04702558;0.054921045;0.071751052;0.059175656;0.083784879;0.085158155;0.081433574;0.081770246;0.080469715;0.091033349;0.078892956;0.096776963;0.102581461
Q6CA98;0.041687602;0.037397244;0.033522015;0.065216393;0.055056232;0.046544121;0.046950363;0.053524514;0.049491169;0.055683901;0.054732841;0.058533305;0.044500574;0.05100941;0.054399536
Q6CFV4;0.075979551;0.067421128;0.035741856;0.132289459;0.081841119;0.058448786;0.021178511;0.024654826;0.022819481;0.022250509;0.018608386;0.025498451;0.020335755;0.027634374;0.031773535
Q6C0T3;0.077481937;0.07570667;0.067917105;0.05626066;0.083647431;0.092838117;0.095480874;0.10900167;0.111182679;0.090956048;0.095802747;0.107450686;0.080385913;0.097864095;0.100451929
Q6C1K9;0.040179869;0.0408135;0.042934004;0.053589122;0.046795361;0.045229723;0.079647814;0.084620449;0.083765714;0.081054826;0.093977744;0.092207146;0.060193656;0.078776609;0.077217736
Q6CG27;0.04288522;0.039440434;0.043975409;0.043142924;0.048579245;0.043457289;0.194166468;0.181710808;0.163134159;0.169347354;0.225795587;0.198822506;0.180144117;0.214189466;0.229584676
Q6C8P7;0.026376402;0.024218443;0.014709559;0.016531082;0.027814981;0.024125331;0.014068941;0.016834842;0.016147926;0.016689207;0.011755937;0.016085664;0.012573003;0.013854952;0.017905217
Q6CE84;0.026142245;0.024683221;0.02189813;0.028732714;0.025084472;0.026690059;0.045342212;0.05749018;0.052104634;0.05669967;0.064858318;0.056187113;0.035266392;0.040889034;0.045683278
Q6C3U2;0.111532731;0.096217493;0.080659638;0.068500352;0.105652068;0.108699458;0.097903465;0.107848445;0.104552046;0.108321913;0.102613345;0.121421952;0.091899342;0.11668597;0.117065233
Q6C454;0.038751922;0.033122222;0.027944156;0.041840185;0.045751678;0.036609415;0.041669868;0.044118252;0.034092175;0.042225927;0.0358358;0.041102983;0.034857879;0.035653231;0.047385057
F2Z6H7;0.050470728;0.037727764;0.046310945;0.094605842;0.092227084;0.083971225;0.043797818;0.052959544;0.048418888;0.043655685;0.036476405;0.043966601;0.052434384;0.050634006;0.058797802
Q6BZP3;0.097489649;0.090313627;0.069313118;0.102980471;0.077085885;0.082931595;0.084831329;0.093333159;0.099824743;0.103113642;0.090751918;0.110707251;0.076859734;0.100869539;0.091888478
Q6CCS8;0.198909346;0.177138634;0.134960131;0.227363227;0.211952883;0.209240532;0.06973567;0.058830682;0.049561179;0.069502974;0.063434744;0.085136486;0.052071821;0.070142188;0.082168094
Q6CAK0;0.040117715;0.037573182;0.031301073;0.024637945;0.039955742;0.04048477;0.048832414;0.053637003;0.050811002;0.048216866;0.049151124;0.053595525;0.037963541;0.04880894;0.052837904
Q6CCX5;0.047018042;0.034752803;0.034589601;0.039495717;0.055330041;0.046430549;0.044254743;0.04925571;0.048897441;0.048552094;0.046614295;0.050995672;0.056302203;0.0710477;0.072657899
Q6CH35;0.039074718;0.035114246;0.036460615;0.038923143;0.042243674;0.044802905;0.071578565;0.088910568;0.080632259;0.087225415;0.087579242;0.088655014;0.058410901;0.069869962;0.076429689
Q6C0Z2;0.022540187;0.022273548;0.022068728;0.034104981;0.026544371;0.024059409;0.060101572;0.063119865;0.070935347;0.074797948;0.088556963;0.086519253;0.049725753;0.066847892;0.050364171
Q6CC10;0.043513081;0.039263583;0.029074135;0.068374375;0.043828662;0.045250918;0.037346117;0.04541999;0.041960813;0.041945194;0.041663395;0.042588861;0.039391965;0.043908571;0.050759288
Q6CG32;0.066123015;0.06030622;0.056982142;0.059405937;0.054077441;0.058191201;0.094810977;0.105123035;0.111339484;0.106400516;0.099314587;0.110626949;0.089562299;0.118368078;0.099546727
Q6CC56;0.055821008;0.053767444;0.043814528;0.055493537;0.062713873;0.05766047;0.055903887;0.057051283;0.055050593;0.05024251;0.043675054;0.054075136;0.046584849;0.05994067;0.062681842
Q6CBR0;0.038601052;0.037167084;0.02940256;0.026605594;0.035604893;0.038126518;0.035727265;0.044732206;0.041807649;0.040443877;0.036900231;0.039394848;0.031774821;0.041352945;0.040128085
Q6CA23;0.023476848;0.019532844;0.016756116;0.036190028;0.023675268;0.02347286;0.041047104;0.041295376;0.035260097;0.05125144;0.039696374;0.047335592;0.03156314;0.037295684;0.04081403
Q6C4Y0;0.042844638;0.043529069;0.033307761;0.027159171;0.040997614;0.041438825;0.037756107;0.042234577;0.041029815;0.04669696;0.042466185;0.048382731;0.033570577;0.048013294;0.046652464
Q6C482;0.070877244;0.059947888;0.051907275;0.093786774;0.103680183;0.081467949;0.074412189;0.077705902;0.06636585;0.061619301;0.068609101;0.058992005;0.060110433;0.062299938;0.088893182
Q6C6W3;0.053483392;0.047198624;0.036377909;0.021817967;0.037330386;0.042400455;0.053845774;0.057622219;0.054967917;0.054595611;0.054464436;0.063425282;0.043819698;0.048779881;0.055338781
Q6C6P3;0.038534137;0.033453229;0.029228609;0.047097104;0.037797777;0.038707523;0.030665411;0.038897809;0.035255355;0.033961941;0.029300348;0.034314951;0.030190714;0.038484114;0.039769416
Q6C242;0.03370831;0.017597323;0.018906416;0.047958066;0.029849736;0.020881936;0.031274021;0.036419897;0.032961244;0.025544621;0.03354313;0.035879975;0.029218485;0.031922732;0.038125941
Q6CFX2;0.081816484;0.070365959;0.076819019;0.142138425;0.100882247;0.082164895;0.173787422;0.178560653;0.175781569;0.182752979;0.221024831;0.191874657;0.166759873;0.195829253;0.190205795
Q6C3I3;0.018823761;0.016749471;0.01643048;0.028575391;0.018668419;0.021057407;0.030068407;0.037194046;0.041726426;0.026478854;0.032441281;0.038207985;0.021675997;0.026629041;0.021300233
Q6CDV7;0.025348669;0.022405922;0.019055636;0.018764457;0.022635221;0.023320209;0.034724711;0.042824658;0.039315838;0.044726447;0.044239789;0.046281762;0.024697945;0.032093988;0.031739032
Q6C2J6;0.011537691;0.010457399;0.010381077;0.020422469;0.016519599;0.01349884;0.015616835;0.017269913;0.014557342;0.015047916;0.017226203;0.014872558;0.013344206;0.016586397;0.018246174
Q6C735;0.081183902;0.074769619;0.070100234;0.079411622;0.06351329;0.067147085;0.102305905;0.09893699;0.104278369;0.108472482;0.103846902;0.132577664;0.071140294;0.120023391;0.093627592
Q6CC42;0.074099171;0.054073615;0.050435039;0.056596771;0.058974406;0.062827471;0.052926547;0.055673541;0.052022928;0.052545191;0.049750764;0.069055415;0.043203449;0.061335194;0.056977984
Q6C0Y3;0.018603775;0.017226922;0.018434855;0.015620112;0.017868961;0.020469752;0.038355695;0.044350022;0.045211009;0.041985387;0.050662066;0.048117048;0.028310056;0.036994376;0.033940078
Q6C5C2;0.068284894;0.060814801;0.060709206;0.046678451;0.074439016;0.07549572;0.173419731;0.146899575;0.153590867;0.17024978;0.14340436;0.197633471;0.133593631;0.153723646;0.164373961
Q6C341;0.039888921;0.036768064;0.024117288;0.028445238;0.045076498;0.038356943;0.019238764;0.023213947;0.023329041;0.027669201;0.024072724;0.027068826;0.015229331;0.023422729;0.02116719
Q6CAB6;0.043691756;0.038346093;0.032509298;0.040904297;0.043423752;0.044279679;0.042827645;0.046793684;0.047256663;0.062562344;0.057308942;0.0582449;0.038724576;0.047582608;0.050941926
Q6C1Q2;0.050626695;0.045331803;0.043231964;0.034905942;0.053207853;0.053694432;0.077701145;0.089994205;0.085550502;0.08042549;0.09401091;0.089675306;0.058340329;0.071963663;0.071863677
Q6CFX6;0.116224628;0.111378496;0.121765023;0.153453365;0.196372138;0.143602503;0.265692987;0.247765681;0.221059838;0.232454948;0.294242657;0.266283373;0.205567875;0.233655418;0.273144915
Q6C880;0.02275918;0.016714337;0.018781302;0.03151776;0.027699471;0.023269531;0.045002755;0.047557113;0.045350969;0.038885161;0.046209661;0.043377971;0.04092889;0.047887661;0.049079435
Q6C8V2;0.059047592;0.055246266;0.05615245;0.075586194;0.073904781;0.065684001;0.102891302;0.103750064;0.094007311;0.09489375;0.119505258;0.101601372;0.084667392;0.099023836;0.103860423
Q6C4K6;0.032560765;0.034954296;0.027701759;0.0323051;0.033721751;0.037400059;0.033275833;0.035741041;0.031929903;0.028397995;0.02648455;0.031841137;0.022638339;0.025358892;0.025322514
Q6C7H1;0.034591104;0.032937026;0.031686457;0.032537849;0.03848444;0.035553189;0.04185114;0.050645528;0.046343564;0.054826192;0.055620013;0.056671993;0.038623186;0.046449841;0.048882817
Q6C433;0.089125337;0.073641242;0.052041767;0.053576278;0.08127349;0.081130104;0.074370317;0.083034614;0.072768273;0.088119317;0.073361509;0.089303939;0.061334975;0.068923712;0.085246764
Q6C2P6;0.046152393;0.030127828;0.023322367;0.02110258;0.032301671;0.032632961;0.034692359;0.046359005;0.030266621;0.039562333;0.030431878;0.040044694;0.0331351;0.031517056;0.047059281
Q6CDN0;0.051121395;0.046749584;0.044954173;0.036553169;0.056368311;0.051088557;0.062304643;0.069296037;0.067156424;0.06971207;0.068637312;0.07859108;0.104385436;0.11950931;0.111987355
Q6C612;0.080014672;0.05441542;0.031638086;0.055389356;0.086831374;0.068377861;0.042611452;0.042368638;0.045896975;0.052688331;0.035435507;0.050192981;0.047976431;0.049387182;0.054101407
Q6C0R9;0.056843108;0.048812085;0.036296641;0.059422832;0.044312769;0.048939067;0.034876664;0.039493083;0.03819414;0.039763209;0.035319535;0.039568897;0.039777868;0.048357085;0.053748375
Q6CAP4;0.072896305;0.06961067;0.064251368;0.02922745;0.054721585;0.061567171;0.097604101;0.107990862;0.11455315;0.104072142;0.11483441;0.118284053;0.08041401;0.109085892;0.093560112
Q6C5W8;0.022260593;0.022212065;0.033722312;0.029338199;0.039969666;0.038642024;0.03783759;0.046675665;0.045666825;0.045234408;0.044152463;0.046398311;0.031930267;0.041512545;0.038474699
Q6C5V9;0.070636416;0.068041955;0.060548133;0.047673477;0.07566918;0.072352688;0.053984359;0.058330629;0.055582937;0.041336428;0.053607896;0.052882804;0.04978552;0.060932289;0.05930609
Q6BZT7;0.03575575;0.035491338;0.033630355;0.221332283;0.057504651;0.038514496;0.065643398;0.06849067;0.056412971;0.054107308;0.077972239;0.055827371;0.050549438;0.045245239;0.05583737
Q6CFM6;0.019197532;0.013390346;0.006845741;0.055809408;0.036493079;0.018742849;0.01080746;0.011107871;0.007214471;0.009786842;0.009377065;0.009956147;0.00729345;0.007202298;0.009646105
Q6C9N2;0.06840297;0.0594402;0.050525211;0.041987315;0.073666614;0.071021716;0.059788567;0.067085497;0.062675704;0.065444503;0.054876282;0.07047479;0.064299142;0.074482915;0.075655039
Q6CA04;0.064439871;0.054279234;0.043225293;0.071241707;0.073091827;0.052690636;0.050547412;0.048517093;0.053601485;0.040463847;0.043238837;0.036529385;0.037756677;0.051223737;0.047386412
Q6CA54;0.096654558;0.092409321;0.081166176;0.078344473;0.100531678;0.098318696;0.154376169;0.165493889;0.162550939;0.160898565;0.183944839;0.179194697;0.118611859;0.155461791;0.146565339
Q6C7Y7;0.029652254;0.028714535;0.019315245;0.090955913;0.041389353;0.029141624;0.034242433;0.042388244;0.037222043;0.040054299;0.048287605;0.036885393;0.034457635;0.037100512;0.039777754
Q6CED9;0.029592181;0.028483802;0.02381853;0.022195595;0.029949683;0.029068312;0.05173674;0.055531545;0.053037417;0.049827372;0.042926478;0.051509628;0.040690697;0.05310456;0.055708908
Q6CGT7;0.142894829;0.1172279;0.089290925;0.127666079;0.17986016;0.143154691;0.129851606;0.138415424;0.148410391;0.144550384;0.143232555;0.155985951;0.112400574;0.148386791;0.142812847
Q6C634;0.028070502;0.024182374;0.02570461;0.02838185;0.031791514;0.030259951;0.03312654;0.033393192;0.033548731;0.03578521;0.038633223;0.041276525;0.026314564;0.032902519;0.032765625
Q6CDH0;0.050021019;0.031429499;0.023674713;0.057293066;0.069135452;0.046583161;0.016817795;0.019834784;0.012363597;0.014112981;0.00777877;0.014143768;0.012427218;0.011744492;0.026372675
Q6C524;0.027777814;0.023073387;0.014926264;0.034256859;0.026637391;0.022815178;0.022746274;0.025833936;0.025045196;0.021044674;0.017257922;0.020144553;0.019279275;0.022568111;0.026768217
Q6CDY6;0.095719259;0.090454916;0.075526245;0.110321175;0.093305815;0.091792891;0.080856701;0.091419586;0.083506495;0.08953581;0.089361668;0.100739216;0.075054985;0.091294183;0.098693867
Q6C045;0.054732873;0.046022148;0.043160398;0.03881541;0.063518633;0.057106143;0.058115848;0.062054611;0.06209901;0.064625409;0.066711941;0.0699599;0.048298769;0.059804921;0.06039028
Q6C9Y8;0.071511642;0.076015211;0.04279144;0.021132312;0.039963241;0.052538145;0.048500664;0.057108854;0.064145169;0.0711606;0.060143488;0.069220746;0.037891032;0.046887866;0.043093791
Q6C9E8;0.041580476;0.03850663;0.033088519;0.127544201;0.047869687;0.037988081;0.079725572;0.086504724;0.078642641;0.075234531;0.090763041;0.08231875;0.077363724;0.077057133;0.089244295
Q6C254;0.025616722;0.023474679;0.016731503;0.009789592;0.025130866;0.023768726;0.022556019;0.027288881;0.022005906;0.024173175;0.013916541;0.021543671;0.017747136;0.017759693;0.024913161
Q6C7G2;0.125738539;0.109584939;0.089119307;0.082063676;0.110282479;0.106407299;0.181453843;0.184861689;0.220322236;0.18878412;0.179911242;0.174524581;0.155779414;0.177169146;0.175225629
Q6CC44;0.04133184;0.032741103;0.036964613;0.044895794;0.053486472;0.046811943;0.048067246;0.049835737;0.0505914;0.035171362;0.030959756;0.039615054;0.032040038;0.035364312;0.035101638
Q6C7E2;0.046878152;0.042478886;0.027164978;0.034912433;0.048365797;0.040902099;0.024414863;0.029268415;0.025564461;0.020482557;0.011809377;0.016900912;0.026527163;0.028858936;0.041002651
Q6CEN0;0.027899449;0.023397218;0.021780649;0.044961796;0.028253786;0.027304114;0.035005317;0.043432379;0.037130737;0.041639876;0.039483822;0.043554556;0.027956042;0.034931876;0.039049042
Q6C1E6;0.012810649;0.011756887;0.007728868;0.012809189;0.015136929;0.013536278;0.007991502;0.010899172;0.009005444;0.008335444;0.006575059;0.008329853;0.007830639;0.007940822;0.011589098
Q6C1Z5;0.029056272;0.029125128;0.042938664;0.028930488;0.05383948;0.054533639;0.071665307;0.073811785;0.076598158;0.075035481;0.085661361;0.09042025;0.054666914;0.069166298;0.060807242
Q6C0A2;0.149445401;0.155414693;0.110436588;0.167029885;0.151399414;0.156212675;0.139742782;0.151014577;0.144083356;0.15534956;0.126152354;0.153741807;0.109991784;0.135515016;0.150676945
Q6C6E4;0.094943321;0.083144261;0.068139915;0.109741148;0.092630065;0.074820167;0.083359868;0.089390412;0.092176688;0.077604074;0.064586493;0.076876832;0.080240069;0.097460896;0.106781553
Q6CH58;0.037260253;0.032498985;0.027827889;0.02762017;0.038707922;0.038784352;0.05198777;0.055361676;0.05305037;0.057959962;0.052605551;0.057509806;0.032483202;0.042601788;0.043125436
Q6C4P1;0.033716243;0.030422296;0.026114801;0.02985545;0.036062781;0.036512553;0.040372791;0.047575602;0.045584864;0.046461408;0.047101388;0.051198139;0.033424352;0.044668633;0.044934372
Q6C3H2;0.011811992;0.009118355;0.013089308;0.013267594;0.021648641;0.018325103;0.016132844;0.018475432;0.015945648;0.013082721;0.009323371;0.013864982;0.013976372;0.013510105;0.018692921
Q6C4U7;0.020844701;0.019102767;0.016241691;0.01781824;0.017636482;0.020462945;0.034987357;0.040245189;0.041345644;0.037301717;0.037102496;0.04134387;0.025251643;0.030511112;0.03035578
Q6C3K6;0.055401219;0.046903106;0.028584;0.133524066;0.05692258;0.045299048;0.016741098;0.018026309;0.016000437;0.022882131;0.013431291;0.020499972;0.014244188;0.017532783;0.017820161
Q6C721;0.05346623;0.045282734;0.030906134;0.048000683;0.042835048;0.045147874;0.052648434;0.063871665;0.065748596;0.076059581;0.061166154;0.072833019;0.041758505;0.054261453;0.049689269
Q6C4Q7;0.055305639;0.044291347;0.038305948;0.131538887;0.054895796;0.048416854;0.057056084;0.067141484;0.060564427;0.06727798;0.073436811;0.071759475;0.055887777;0.066418217;0.07278966
Q6C040;0.039442769;0.037454461;0.033844343;0.037901304;0.039525592;0.041475896;0.099824085;0.126235861;0.116896701;0.127492883;0.147569738;0.125323486;0.064585932;0.079214301;0.082054009
Q6CD82;0.041673163;0.027976479;0.022890643;0.040155543;0.061804153;0.055114087;0.040722265;0.042709102;0.034465773;0.034138777;0.028425092;0.034931232;0.040051149;0.034803359;0.0520963
Q6CHX1;0.050500788;0.045596787;0.037459363;0.04727481;0.048317999;0.049592432;0.057906538;0.069773215;0.066986426;0.06933182;0.06901971;0.068239231;0.047707103;0.061660191;0.063524836
F2Z660;0.096106039;0.093368038;0.075013331;0.418729097;0.114227693;0.10004938;0.098502986;0.095883;0.095504764;0.108025693;0.109789303;0.120258023;0.103397159;0.117643137;0.130368121
Q6CB59;0.039348847;0.034122405;0.028134249;0.034109868;0.042931782;0.039099013;0.038102314;0.040824702;0.037552867;0.034930383;0.032502795;0.035929061;0.032577793;0.038323862;0.044880599
Q6C0P6;0.072468002;0.057916791;0.042140342;0.047602001;0.080134076;0.069266253;0.088984793;0.123387434;0.100389284;0.114425465;0.07305489;0.084986643;0.055863255;0.060810782;0.070196476
Q6C6Z5;0.030289165;0.027531589;0.036114204;0.024479645;0.043580708;0.039802702;0.065351787;0.078886885;0.077351415;0.071788595;0.091261164;0.080150038;0.057790591;0.077987972;0.071462167
Q6CFI3;0.053360716;0.045788028;0.035488519;0.048403559;0.064925439;0.055071601;0.067997801;0.073279366;0.056637137;0.054249623;0.044294443;0.055395987;0.050714529;0.04987136;0.066642164
Q6CBS3;0.017847815;0.01628779;0.013029778;0.0235483;0.015280371;0.015685196;0.019099943;0.023684362;0.022410374;0.022559061;0.021240147;0.023185487;0.016377062;0.021460167;0.022413611
Q6C3L0;0.010133987;0.009017229;0.018916954;0.045456433;0.031553114;0.022299963;0.041786588;0.044393405;0.03886655;0.039036276;0.061600329;0.043289976;0.046756181;0.043235073;0.051132246
Q6C8F7;0.115550227;0.096995262;0.091480675;0.197269029;0.132506727;0.117169216;0.119047358;0.123167684;0.107394003;0.097794048;0.122409823;0.122753542;0.105254916;0.112366299;0.130778269
Q6CBK6;0.019882344;0.017650457;0.022664867;0.069862566;0.043550217;0.035015281;0.031842449;0.032235597;0.030147753;0.02854515;0.03113603;0.033615271;0.031225784;0.033744316;0.040459763
Q6CF27;0.068401718;0.06846352;0.045845615;0.05726975;0.069785425;0.067393318;0.078106298;0.079631171;0.071967889;0.083368679;0.085924512;0.084792946;0.05667039;0.071283605;0.079635431
Q6C4W9;0.043335321;0.035565422;0.022274647;0.028762197;0.036799821;0.037359317;0.018440107;0.021061557;0.01939818;0.023051461;0.014503872;0.022041097;0.023432431;0.026083356;0.032680169
Q6C8T4;0.034757101;0.030094102;0.0285769;0.058029713;0.041055591;0.037624812;0.053688419;0.05926017;0.057870367;0.063739904;0.063500133;0.064917155;0.043127972;0.055644098;0.057968721
Q6C780;0.039811309;0.035729103;0.034792993;0.021492596;0.037506689;0.03768935;0.062395863;0.069143625;0.073983108;0.084883301;0.092486853;0.093398151;0.111485749;0.147441041;0.133619942
Q6C5H6;0.055620239;0.051756371;0.041551268;0.043845052;0.0502594;0.052282875;0.072223377;0.079240655;0.075446304;0.079566606;0.08144515;0.084421156;0.050045875;0.065307577;0.067492296
Q6CDY9;0.054506312;0.04940993;0.038650491;0.040814284;0.053646901;0.055568478;0.044292659;0.047867616;0.050312043;0.037631643;0.033122986;0.043074201;0.036948857;0.042608645;0.045491719
Q6CHJ9;0.040846244;0.029882687;0.026282812;0.024112812;0.037661741;0.035302202;0.037628015;0.038813202;0.037054363;0.049212021;0.033577475;0.047336526;0.032507604;0.037959065;0.037766019
B5U8Q6;0.051279232;0.04612497;0.043839905;0.153905656;0.083728493;0.05621259;0.073285178;0.072070586;0.054214049;0.054119359;0.079444597;0.057780883;0.078237408;0.072357355;0.089234038
Q6CHF1;0.037870863;0.033157123;0.033556131;0.037983437;0.036551458;0.036295074;0.035147316;0.038440474;0.033959701;0.038521841;0.037542598;0.040937118;0.030650313;0.040286329;0.039016331
Q6C752;0.05216144;0.049311546;0.040180839;0.110902308;0.051288965;0.047196;0.045261461;0.053485068;0.044910149;0.04901769;0.048672779;0.046295045;0.039983211;0.048246599;0.049836429
Q6C3H6;0.060848892;0.06881295;0.0480653;0.079506981;0.061144775;0.070087418;0.043911695;0.04566187;0.048406188;0.040432212;0.044070577;0.04486896;0.037991876;0.061605071;0.04910917
Q6C676;0.053147143;0.043200676;0.043534594;0.048265231;0.036207873;0.032321576;0.231863869;0.260179301;0.206291003;0.165083723;0.210932523;0.197984339;0.116264844;0.113733656;0.139149607
Q6CGB0;0.035043191;0.033369036;0.02971273;0.052885063;0.042387148;0.040456772;0.05519872;0.060893093;0.055041199;0.058978665;0.062815686;0.06087108;0.045851637;0.05523096;0.058074193
Q6C0Z5;0.100807235;0.086649446;0.07029456;0.053836637;0.106693273;0.104785169;0.086001069;0.101815951;0.09658017;0.097743159;0.08689177;0.103136147;0.083268074;0.096504933;0.096697559
Q6CIA8;0.070516509;0.086655082;0.093501133;0.162761586;0.094701939;0.06202626;0.128253016;0.121038195;0.126399999;0.153399418;0.351087352;0.187247336;0.237674709;0.306592282;0.267420825
Q6C004;0.030276269;0.026347257;0.022616575;0.047314523;0.035215569;0.030258099;0.023786378;0.02859402;0.021139934;0.018156657;0.018960796;0.02566566;0.025196271;0.02715232;0.03589984
Q6CBJ5;0.034944517;0.033316214;0.026577873;0.032893237;0.040191887;0.033456141;0.057572298;0.060439663;0.053783981;0.062461127;0.068101732;0.065804562;0.048686726;0.054043641;0.06301263
cont_P00761;0.025340607;0.022002295;0.020045341;0.402920271;0.039034443;0.022380262;0.049274153;0.040590678;0.03631075;0.035672844;0.054905755;0.043993775;0.056754097;0.044354982;0.061068974
B5FVD6;0.094663291;0.06745082;0.067077448;0.082735515;0.116894744;0.087978023;0.097541504;0.116904764;0.090848368;0.093475217;0.104043498;0.10150309;0.072538534;0.082175699;0.094415349
Q6C3H7;0.024226716;0.011012692;0.016598821;0.012388823;0.025070573;0.016215986;0.056314085;0.101551697;0.0958561;0.059060366;0.066546248;0.069602497;0.016840826;0.01859902;0.021478685
Q6C0M8;0.062686269;0.059188216;0.061791061;0.163127267;0.067489533;0.067234823;0.046606028;0.040452237;0.037187719;0.030789817;0.039176922;0.03523071;0.033092148;0.035155865;0.039864647
Q6C653;0.011847113;0.012355628;0.009077705;0.011454119;0.010122037;0.011058656;0.017146709;0.019137;0.019527048;0.0200411;0.021118251;0.021910376;0.012917119;0.016520279;0.015965431
Q6C1Q8;0.033674131;0.029298102;0.027127495;0.021961825;0.029300128;0.031871196;0.061405205;0.073727044;0.073398695;0.073771306;0.079033466;0.085947613;0.038493443;0.05137594;0.047504993
Q6CI37;0.026379302;0.026168279;0.019237061;0.03228716;0.026717026;0.025811777;0.030386846;0.034449873;0.03570254;0.035955518;0.038092298;0.036174586;0.024473771;0.031091678;0.032606183
Q6C6W9;0.042649808;0.038641255;0.029205586;0.031243246;0.043430835;0.042233747;0.031295261;0.035691601;0.033414637;0.032198807;0.026800984;0.032939412;0.029364917;0.039234042;0.039254182
Q6C4K3;0.036368804;0.033300552;0.025796993;0.031615037;0.043320125;0.039537046;0.050507613;0.058641167;0.054773628;0.058827213;0.055381862;0.061670859;0.033892541;0.044322862;0.048029529
Q6CFY4;0.123961729;0.108141804;0.124952378;0.110970495;0.143017474;0.140755483;0.161069566;0.209608834;0.173823269;0.201744116;0.21100732;0.206421594;0.123960067;0.158678966;0.160952812
F2Z6C7;0.032585707;0.03253157;0.027509387;0.03077933;0.033183172;0.032063938;0.035721313;0.037001184;0.034718947;0.032619627;0.029069607;0.035871344;0.032688129;0.040071837;0.046810444
Q6C6B4;0.067103233;0.062896335;0.049629931;0.084030654;0.051966385;0.054871972;0.085747018;0.088782778;0.0857101;0.087359236;0.090227597;0.088185051;0.064545396;0.088932262;0.089405265
Q6CEY4;0.047207436;0.042636088;0.030834874;0.055337894;0.051762827;0.044356251;0.046835001;0.050851787;0.04162234;0.044819325;0.030625524;0.045495358;0.03129174;0.035613014;0.04725845
