"";"genes";"logFC";"AveExpr";"t";"P.Value";"adj.P.Val";"B"
"YALI1_C07840g";"YALI1_C07840g";-0,259521790992203;8,58687131490947;-2,28230604955678;0,0281493152832137;0,337025070530928;-3,93779950395839
"YALI1_A12294g";"YALI1_A12294g";-0,234224895696586;8,59233889658471;-2,27851613977743;0,028395610266004;0,338158417446968;-4,01705914995993
"YALI1_F12871g";"YALI1_F12871g";-0,420959093493341;9,99841596766553;-2,27670375835242;0,028514072301528;0,338158417446968;-4,24348781699535
"YALI1_C25080g";"YALI1_C25080g";0,433013629993033;6,45158916294528;2,27404237384423;0,0286888294931917;0,338158417446968;-3,60669797798525
"YALI1_C33353g";"YALI1_C33353g";-0,551864294167492;5,06984030600928;-2,27244037979574;0,0287944845559812;0,338158417446968;-3,49934483060224
"YALI1_A19549g";"YALI1_A19549g";0,650978419388263;3,9172213612039;2,27099085861664;0,0288903836861254;0,338158417446968;-3,44788707318312
"YALI1_F13446g";"YALI1_F13446g";-0,848407016638626;2,94352344795386;-2,27020475825229;0,0289425108939611;0,338158417446968;-3,44594812977694
"YALI1_A04119g";"YALI1_A04119g";-0,969622796447424;2,19102024056778;-2,26913975255092;0,0290132668852777;0,338158417446968;-3,46575722941684
"YALI1_F14656g";"YALI1_F14656g";0,909999119781945;3,67232906406655;2,26693867622018;0,0291599909182784;0,338586007756764;-3,49670989424229
"YALI1_F11889g";"YALI1_F11889g";-0,337072922702686;7,26149862267124;-2,26127148236057;0,0295408260442195;0,340615618792665;-3,8801816306731
"YALI1_E34064r";"YALI1_E34064r";1,0714838360096;3,63789464538829;2,26090879806048;0,0295653491551225;0,340615618792665;-3,49859734673945
"YALI1_E00928g";"YALI1_E00928g";0,228445020958164;10,3210737350805;2,25941008365728;0,029666878724873;0,340615618792665;-4,23009436754342
"YALI1_B30090g";"YALI1_B30090g";1,29539737119338;2,95198914639193;2,25144286217768;0,0302118637934617;0,345583289563129;-3,60614549072796
"YALI1_F12712g";"YALI1_F12712g";-0,297672216468535;8,23706752307791;-2,24685342035902;0,0305298410988046;0,347927115040821;-3,93593871773877
"YALI1_E13132g";"YALI1_E13132g";-1,52738430082168;2,42272341630716;-2,23734540639792;0,0311981232266747;0,35097501930571;-3,79189335749577
"YALI1_D20359g";"YALI1_D20359g";0,775230068627446;3,25421872812599;2,23660450852237;0,0312507421846452;0,35097501930571;-3,49495287478951
"YALI1_C03821g";"YALI1_C03821g";-0,165120736268383;10,1409667047883;-2,23602368947167;0,0312920475997451;0,35097501930571;-4,35583662401609
"YALI1_B10757g";"YALI1_B10757g";0,330331024861514;6,97934682156318;2,23332507231673;0,0314846013438225;0,35097501930571;-3,83827155125212
"YALI1_A15523g";"YALI1_A15523g";-0,274225148491809;7,87379966886192;-2,23244510491268;0,0315476174844013;0,35097501930571;-4,01707139208078
"YALI1_A16809g";"YALI1_A16809g";0,507484162959772;6,70808525295939;2,23195158979289;0,0315830082416574;0,35097501930571;-3,63746845032672
"YALI1_E17754g";"YALI1_E17754g";1,37399630869146;4,96993935393484;2,23177422192005;0,0315957362195911;0,35097501930571;-3,69486776504715
"YALI1_B14492g";"YALI1_B14492g";0,733862422121264;2,74366726987062;2,22709395746437;0,0319332501671594;0,353448240159531;-3,51261364082404
"YALI1_C15115g";"YALI1_C15115g";0,456153160989111;4,91738920173106;2,22220133468319;0,0322895096354159;0,354613693263515;-3,71147905728553
"YALI1_F34304g";"YALI1_F34304g";0,828995641831687;4,62173704345669;2,22093532040281;0,0323822699808551;0,354613693263515;-3,52641918392462
"YALI1_F30789g";"YALI1_F30789g";-0,929788399289285;3,13249285650048;-2,21737149928749;0,0326446653065816;0,354613693263515;-3,54330348990126
"YALI1_B10773g";"YALI1_B10773g";-0,772132234445671;4,64266730403463;-2,21639233955919;0,0327170891411468;0,354613693263515;-3,5543569743686
"YALI1_E23302g";"YALI1_E23302g";-0,26706860822321;7,96629522603787;-2,21596090296253;0,0327490458476134;0,354613693263515;-3,96459539301859
"YALI1_E28425g";"YALI1_E28425g";-0,182255183145848;11,6186949963149;-2,21510218928916;0,0328127338644097;0,354613693263515;-4,36659529315464
"YALI1_A15675g";"YALI1_A15675g";0,533785121054215;4,45225064577886;2,2146640431176;0,0328452722067279;0,354613693263515;-3,65336684326532
"YALI1_D02183g";"YALI1_D02183g";1,1658808670652;3,40401658517925;2,20950463423365;0,0332305945277111;0,355095424896776;-3,56190257342909
"YALI1_A18817g";"YALI1_A18817g";-0,671194915186562;4,65677098236216;-2,20805091348498;0,0333398871103286;0,355095424896776;-3,59132143728348
